MODEL,MODEL_BASE,MODEL_NAME,MODEL_GROUP,LOOKBACK,STRATEGY,PRODUCT,PRODUCT_SIGN,PRICE_TYPE,N_OBSERVATIONS,RMSE,MAPE,MAE,MED_MAE,ZERO_COUNT,NEGATIVE_COUNT,ACCEPTANCE,CHANCE_OF_ACCEPTANCE,REVENUE,MAX_REVENUE,ACHIEVED_REVENUE_PERCENTAGE,MAPE_NORM,RMSE_NORM,MAE_NORM,COMBINED_SCORE,MAE_vs_BEST_STATISTICAL
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,00_04,NEG,AVERAGE,243,2.6805496072419386,0.18487900720146347,1.4679712790123456,0.7307780000000008,0,0,158,0.6502057613168725,5.523628126799999,7.52448,73.40876880262822,0.9953571203325909,0.9995476434928359,0.9962672651630332,0.9970403407695179,18.07099997798734
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,00_04,NEG,MARGINAL,243,6.816917364258528,0.2837587281183758,3.2718497666666666,1.4877660000000006,0,0,64,0.26337448559670784,3.1671931536,10.485959999999999,30.204131558770015,0.992873946863015,0.9988496101992699,0.9916803906316375,0.9944520422076246,37.84204121314156
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,00_04,POS,AVERAGE,243,0.9600792333882157,0.07658042290006918,0.3325670283950618,0.21270219999999984,0,0,197,0.8106995884773662,3.1672166176000003,3.9527600000000005,80.1267119076291,0.9980768303887695,0.9998379817006771,0.9991543536646358,0.9990135930027348,59.063359786499205
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,00_04,POS,MARGINAL,243,2.3360695055157623,0.16587060601945486,0.938344146090535,0.5139519999999997,0,0,96,0.3950617283950617,1.8037558100000002,4.75564,37.92877110126083,0.9958344796644795,0.9996057762784346,0.9976139929075911,0.9976662469173116,53.27532466900834
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,04_08,NEG,AVERAGE,243,1.6963669584775416,0.15193389469813534,1.0244211477366256,0.6186620000000005,0,0,181,0.7448559670781894,4.7520415412,6.09224,78.00154854700405,0.9961844732878972,0.9997137293672416,0.997395117628967,0.9977486404266339,37.66674201172247
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,04_08,NEG,MARGINAL,243,5.395321143866644,0.25851946018201016,2.524690942386831,1.2996079999999992,0,0,60,0.24691358024691357,2.4465817316,8.57392,28.535159315692244,0.9935077823952144,0.9990895118594059,0.9935802546221734,0.9953736689532942,28.38417287023281
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,04_08,POS,AVERAGE,243,3.9479385344888596,0.1216546640881631,1.6313739119341564,0.6951830000000001,0,0,196,0.8065843621399177,8.090039607200001,10.60856,76.2595451899221,0.9969448777614599,0.9993337651050609,0.9958517674560415,0.9973724841840603,17.159160257477126
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,04_08,POS,MARGINAL,243,20.703300773404692,0.18660388415557472,4.400837649794239,1.2769670000000009,0,0,114,0.4691358024691358,5.6032761352,14.25088,39.31880792765078,0.9953138033748669,0.9965062117114628,0.9888096175708057,0.9935609168106034,34.66737946836547
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,08_12,NEG,AVERAGE,243,4.218408797576943,0.1796869403603241,2.0108019218106996,0.8789943999999998,0,0,193,0.7942386831275721,8.2504524308,11.116,74.22141445483987,0.9954875090767402,0.9992881218596713,0.9948869637362167,0.9965435313327348,21.107580132260168
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,08_12,NEG,MARGINAL,243,18.377159570105796,0.2842068083397172,5.515987007407408,1.549439999999997,0,0,107,0.4403292181069959,5.506140317600001,15.307240000000002,35.97082372524374,0.9928626941925225,0.9968987599810609,0.9859740329002497,0.9919213376762902,37.72416131245785
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,08_12,POS,AVERAGE,243,7.965693910087498,0.16955125667942877,3.906699923045268,1.511747999999999,0,0,174,0.7160493827160493,11.878502152400001,17.75968,66.88466319438187,0.9957420472224694,0.9986557482597709,0.9900661033980599,0.9948305071027237,36.38853534122809
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,08_12,POS,MARGINAL,243,17.668752193599545,0.2512903691182502,8.1510594436214,2.5612309999999994,0,0,75,0.30864197530864196,6.608181394,23.39096,28.2510054910102,0.9936893270736603,0.9970183073625457,0.9792736111541209,0.9900307043155445,24.79862158662615
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,12_16,NEG,AVERAGE,243,5.6925234223622505,0.1881361439451402,3.5699563588477368,1.7013330000000018,0,0,193,0.7942386831275721,19.0082069316,23.006559999999997,82.6208130707068,0.9952753236257063,0.999039357449184,0.9909223697645587,0.9950809800132753,17.250996193010316
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,12_16,NEG,MARGINAL,243,26.511545367202526,0.22649988243630179,7.251965789711933,2.4632217999999995,0,0,120,0.49382716049382713,13.560764048400001,30.051000000000005,45.12583291204951,0.9943118923302736,0.9955260406188978,0.981559812697452,0.9905043749866885,0.0017519951326749601
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,12_16,POS,AVERAGE,243,16.137791792678616,0.15537430900429022,3.7277649798353916,0.7798929999999995,0,0,196,0.8065843621399177,8.238226185200002,12.400360000000001,66.43537917608843,0.9960980739185404,0.9972766647895808,0.9905210964252529,0.9946466063331989,2.867327466435782
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,12_16,POS,MARGINAL,243,93.68825081916167,0.21542429782267322,13.163345665020577,1.4135089999999995,0,0,87,0.35802469135802467,4.389070092,22.700200000000006,19.334940185549023,0.994590034275028,0.9841896267137267,0.9665284466819298,0.9818975758740762,-7.440686481570545
xgboost_exog_4,xgboost_exog_4,XGBoost (Exog. 4),TREE_BASED,,,16_20,NEG,AVERAGE,243,1.7391477083579374,0.17178688268744388,0.8651375174485596,0.3081695999999998,0,0,202,0.831275720164609,5.88521559004,6.76304,87.02026884418841,0.9956859037873999,0.9997065098960789,0.9978001415992827,0.9977104022811853,0.9583074959631667
